battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1283,yes,1.6,yes,4,no,47,0.9,93,five,5,372,692,2698,9,6,17,yes,yes,no,2
1281,yes,2.3,yes,0,no,28,0.3,148,one,6,1285,1617,1129,12,1,6,no,yes,no,1
1066,no,0.6,no,2,yes,7,0.9,114,seven,18,1242,1571,468,19,13,6,yes,yes,no,0
730,no,2.1,yes,0,yes,4,0.1,89,,2,302,1247,1210,19,15,4,yes,yes,yes,0
1053,yes,0.8,yes,7,yes,45,0.3,103,one,12,594,1767,3086,17,6,5,yes,yes,yes,3
1611,yes,0.5,yes,11,no,3,0.6,98,three,14,303,714,1595,8,4,9,yes,no,yes,1
793,no,1,yes,5,yes,30,0.9,133,two,15,1858,1935,2332,17,13,14,yes,yes,yes,2
1220,no,2.9,no,3,no,62,0.5,125,four,8,403,1933,2589,19,11,15,yes,yes,yes,2
1662,no,0.5,no,0,yes,61,0.8,126,four,13,32,1509,3760,9,5,13,yes,yes,yes,3
1281,yes,2.8,yes,3,yes,8,0.3,144,four,19,590,954,1851,8,2,9,yes,yes,no,1
538,no,0.8,no,12,yes,2,0.8,177,seven,13,235,662,417,8,4,9,yes,no,yes,0
823,yes,0.5,no,0,no,39,0.4,187,,4,630,888,294,13,9,11,no,no,yes,0
1733,yes,2.8,no,3,yes,36,1,119,six,20,357,527,3576,17,16,9,yes,no,no,3
1429,no,1.5,yes,0,yes,40,0.9,100,three,14,246,820,3945,11,7,18,yes,no,yes,3
1839,yes,1.2,no,9,yes,54,0.5,200,seven,11,475,1493,927,19,10,18,yes,no,yes,1
659,no,2.7,no,6,yes,6,0.5,110,three,7,1054,1929,2044,15,5,2,yes,no,yes,1
1953,yes,2.1,yes,7,no,56,0.1,158,,9,555,764,2334,11,5,4,yes,no,no,2
1172,no,1.9,no,0,yes,27,0.7,164,one,3,607,1092,1477,12,0,6,yes,no,no,1
612,yes,1.9,yes,6,no,16,0.3,102,seven,7,1360,1891,3161,8,4,3,no,no,no,3
1563,no,2.4,no,0,yes,24,0.2,170,,0,142,1699,3660,7,5,5,yes,yes,no,3
1191,no,1.3,yes,16,yes,26,0.8,84,one,20,681,683,1604,14,3,9,yes,no,yes,1
615,yes,0.5,yes,0,no,42,0.6,163,six,4,104,1664,2211,7,4,18,no,no,yes,1
1893,yes,2.1,yes,8,no,63,0.2,134,two,11,637,763,3822,14,3,18,no,yes,yes,3
1563,no,1.7,yes,10,no,16,0.1,151,seven,13,410,572,3922,11,1,8,no,no,yes,3
1995,yes,1.9,no,6,no,9,0.8,139,six,18,1830,1963,1203,14,12,18,yes,yes,yes,2
1517,no,0.5,no,6,yes,48,0.6,143,five,14,802,1489,2822,15,5,11,yes,yes,yes,3
832,no,1.6,yes,1,yes,34,0.3,108,five,5,311,1294,447,15,13,12,yes,yes,no,0
1162,no,2,no,0,yes,56,0.7,114,seven,1,56,997,1652,5,0,20,yes,no,no,1
1595,yes,2.6,no,7,no,12,0.3,121,,19,344,655,3608,15,1,16,no,yes,no,3
1329,yes,1,no,1,no,52,0.9,181,six,2,1053,1458,1228,8,6,6,yes,no,yes,1
928,yes,0.5,yes,11,no,56,0.7,80,,13,221,1243,666,19,10,5,no,yes,no,0
1656,yes,0.5,yes,8,yes,38,0.1,105,seven,17,506,519,1499,12,8,19,yes,no,yes,1
1937,yes,1.7,no,17,no,58,0.6,189,one,19,1728,1767,3321,5,4,14,yes,yes,no,3
977,yes,1.1,yes,2,no,57,0.6,181,six,7,63,566,1206,7,1,8,no,yes,yes,0
768,yes,0.9,no,16,yes,56,0.1,113,one,20,418,515,952,19,3,16,yes,no,yes,0
1464,yes,0.5,yes,11,no,12,0.9,117,two,14,854,1168,3927,5,3,15,no,yes,yes,3
1177,no,0.9,no,1,yes,29,0.4,191,two,8,178,882,311,18,5,19,yes,no,no,0
1348,no,2,no,18,no,52,0.3,98,three,20,1869,1942,955,18,11,7,yes,yes,yes,1
1956,no,2.2,no,0,yes,37,0.5,87,three,2,185,776,1109,13,1,19,yes,yes,no,1
1751,no,0.5,yes,6,no,8,0.6,178,six,20,170,564,2969,8,6,17,no,no,yes,2
1530,no,2,no,11,no,42,0.8,177,six,13,454,1975,725,11,10,19,no,no,yes,0
1997,yes,1.8,yes,1,no,40,0.5,185,four,8,866,1212,1655,7,6,15,yes,no,no,2
1414,yes,1.5,yes,5,no,44,0.5,180,two,6,44,1118,3490,16,12,13,no,yes,no,3
1707,no,1.4,no,0,no,41,0.8,80,seven,2,1331,1388,1774,12,0,10,no,no,no,2
894,no,0.5,yes,1,yes,50,0.5,199,three,14,1285,1462,3615,13,0,6,yes,no,yes,3
645,no,1.2,no,6,yes,41,0.7,184,,17,741,1130,714,18,2,13,yes,yes,no,0
1163,no,2.8,yes,0,no,49,0.6,155,two,0,520,754,2768,19,2,12,no,no,yes,2
1126,no,0.7,no,3,no,49,0.9,165,,17,114,1726,3739,14,1,13,yes,no,no,3
1648,no,0.7,no,6,yes,64,0.8,170,four,9,1153,1876,610,8,1,6,yes,yes,no,1
1170,yes,0.9,no,6,yes,14,0.4,199,two,13,474,709,715,18,5,20,yes,no,yes,0
508,no,0.8,no,7,yes,42,0.3,94,one,8,39,557,663,13,12,7,yes,no,no,0
1097,no,2.1,yes,6,no,64,0.2,161,three,8,419,1914,1725,14,5,9,yes,no,yes,1
728,no,1.7,yes,0,yes,5,0.6,101,two,20,584,775,834,16,0,5,yes,yes,no,0
1980,no,0.5,yes,2,yes,29,0.8,177,one,13,312,1910,3865,12,10,18,yes,no,no,3
1504,no,2.3,yes,1,no,64,0.9,182,one,2,19,1923,3059,6,5,10,no,yes,no,3
1379,yes,2.1,yes,14,yes,63,1,83,one,17,207,1370,651,9,6,7,yes,yes,no,0
1698,no,2.1,no,5,yes,18,0.9,160,six,20,363,994,796,13,3,14,yes,no,yes,0
920,no,2.1,yes,5,no,25,0.4,115,seven,14,209,1078,785,10,7,5,no,yes,yes,0
1144,yes,1.5,yes,0,no,21,0.4,189,one,11,159,724,3252,16,0,8,no,no,no,2
1995,yes,0.5,no,6,no,26,0.2,129,one,15,649,1104,1322,15,11,7,no,yes,yes,1
1430,no,0.5,yes,1,no,27,0.5,183,one,16,1132,1182,2832,7,1,15,no,yes,yes,2
972,yes,0.5,yes,5,no,13,0.4,193,five,8,1392,1795,1615,11,6,13,no,yes,no,1
662,no,0.5,no,5,no,20,0.8,138,one,10,1001,1224,2125,17,15,15,no,yes,yes,1
1867,no,2.3,no,0,yes,9,0.1,191,six,3,712,1442,990,6,1,2,yes,no,yes,1
1730,no,2,yes,0,yes,20,0.1,143,four,10,418,1023,1595,14,0,12,yes,yes,no,1
1723,yes,1,no,1,yes,7,0.6,126,three,17,384,1361,1213,5,0,16,yes,yes,yes,1
1882,yes,1.3,yes,8,no,47,0.2,140,two,13,119,652,2500,17,1,11,no,no,yes,2
803,no,0.8,yes,0,no,18,0.3,106,four,1,627,935,2801,18,15,12,no,yes,no,2
580,yes,1.2,yes,0,no,47,0.9,91,three,1,1086,1345,3451,15,1,11,yes,yes,no,3
668,no,2.3,no,2,yes,48,0.3,114,one,19,195,1292,1201,14,12,4,yes,yes,no,0
1391,no,1.4,no,2,yes,36,0.8,182,one,6,14,1256,3139,14,7,14,yes,yes,no,2
1560,no,2.3,no,0,yes,22,0.8,169,seven,1,745,1364,1938,15,11,16,yes,yes,yes,2
821,no,1.8,yes,5,no,54,0.1,109,three,9,253,1786,3185,8,4,15,yes,no,no,2
811,yes,2.4,yes,5,yes,2,0.3,106,six,13,333,1429,2111,18,7,2,yes,no,yes,1
1989,yes,2.9,yes,8,no,17,0.1,193,,15,629,682,2369,7,0,18,yes,yes,no,2
1034,yes,2.7,yes,6,no,37,0.7,120,seven,20,707,1199,3625,17,1,12,no,yes,yes,3
618,no,2.1,no,2,no,6,0.3,86,one,4,1314,1688,1051,13,10,15,no,no,yes,0
654,yes,1.3,no,0,yes,52,0.7,196,four,4,1715,1898,1036,17,4,13,yes,no,no,1
576,yes,2.8,no,2,yes,10,0.2,184,five,7,513,1438,2938,6,0,5,yes,yes,yes,2
667,yes,0.6,no,6,yes,3,0.7,185,six,13,13,1463,2855,5,0,19,yes,no,yes,2
869,yes,1,no,7,yes,57,0.6,118,one,15,1243,1584,2727,13,3,8,yes,no,no,2
635,yes,0.5,yes,2,no,42,0.4,149,three,4,300,1059,2973,12,5,18,no,no,yes,2
609,yes,3,no,15,yes,44,0.3,117,one,16,58,1253,2581,15,11,15,yes,no,yes,1
1557,no,2.8,yes,16,no,2,0.1,123,five,20,1107,1442,2690,18,16,9,no,no,yes,3
1604,yes,1.7,no,2,no,33,1,191,,5,134,939,916,13,10,12,no,yes,yes,0
1182,no,0.5,no,7,yes,8,0.5,138,,16,275,986,2563,19,17,19,yes,no,no,2
848,yes,2.1,yes,10,yes,19,0.8,148,seven,18,176,1029,3359,10,0,14,yes,no,no,2
1610,yes,2.9,no,7,yes,64,0.9,181,four,12,1236,1280,941,8,4,9,yes,yes,no,1
1828,yes,2.1,yes,0,no,17,0.9,199,one,1,336,898,2280,17,14,4,no,no,no,2
880,no,2,yes,1,yes,50,0.5,194,seven,3,1116,1381,827,15,9,6,yes,no,yes,0
1394,yes,0.9,yes,10,yes,62,0.3,175,five,13,1010,1565,473,11,1,20,yes,yes,no,0
1960,yes,2.3,yes,1,yes,61,0.3,86,seven,3,205,1299,3865,10,7,11,yes,no,no,3
809,no,0.8,no,10,no,21,0.9,91,seven,19,1453,1726,1274,18,7,3,no,no,no,1
899,no,0.5,yes,13,yes,57,0.9,172,two,18,788,1331,364,11,1,7,yes,yes,no,0
1976,yes,0.7,yes,4,no,32,0.8,171,two,7,1301,1922,3699,17,11,13,no,yes,yes,3
879,no,1.5,yes,0,yes,21,0.8,187,four,2,463,1038,2927,14,13,11,yes,no,yes,2
916,yes,2.6,no,0,no,36,0.3,195,four,12,188,992,1470,13,0,14,no,yes,no,0
763,no,1.7,yes,8,yes,2,0.5,92,,14,1028,1186,1050,6,4,8,yes,yes,no,0
508,no,1.6,yes,0,no,9,0.4,162,six,2,1419,1920,2616,18,8,10,yes,yes,yes,2
825,no,2.9,yes,0,no,34,0.8,99,,17,1471,1866,2915,8,2,10,yes,yes,no,3
1864,no,1.4,no,8,yes,46,0.7,178,one,12,168,981,2686,11,7,18,yes,yes,yes,2
1725,no,0.5,yes,8,yes,52,1,185,six,12,1125,1195,1243,19,18,5,yes,yes,yes,1
1108,yes,2.9,no,10,no,52,0.1,183,two,12,130,1706,3264,16,1,13,no,yes,yes,3
1011,no,1.1,no,4,yes,36,0.2,131,seven,18,481,749,2261,7,6,16,yes,yes,yes,1
1703,yes,1.5,yes,17,yes,55,0.7,138,five,19,1411,1711,2993,5,1,20,yes,yes,yes,3
1067,yes,1.7,yes,0,no,58,0.5,135,seven,0,79,681,706,12,9,16,no,yes,no,0
1334,yes,2.4,no,5,yes,42,0.6,115,five,14,1187,1974,2542,10,1,8,yes,no,no,3
775,yes,2.6,no,0,no,30,0.4,189,seven,10,561,1510,2523,17,16,9,yes,no,yes,2
1899,yes,0.6,no,0,no,26,0.1,151,two,0,96,814,336,13,11,4,yes,no,yes,0
930,yes,1.3,yes,1,yes,14,0.4,97,six,10,77,1025,2457,11,7,17,yes,yes,no,1
1058,no,1.5,no,2,no,19,0.4,166,four,14,493,1247,418,9,7,16,no,no,yes,0
1187,yes,2.2,no,0,yes,46,0.4,145,two,9,1173,1814,3917,13,11,8,yes,no,yes,3
1874,yes,2.7,yes,10,no,8,0.9,166,seven,13,964,1233,1246,8,1,2,no,no,yes,1
1482,no,0.5,no,2,no,48,0.2,142,seven,10,634,642,2971,12,8,12,yes,yes,yes,2
1809,yes,1.7,no,3,yes,59,0.1,174,three,4,639,721,2324,10,6,16,yes,no,yes,2
864,yes,3,yes,0,yes,54,0.7,187,two,1,127,1670,3121,18,2,16,yes,yes,yes,2
625,yes,1.9,no,12,yes,33,0.2,191,one,20,431,550,3801,10,6,2,yes,no,no,2
1880,yes,1.8,no,4,yes,18,0.7,138,three,5,71,699,3333,17,15,7,yes,no,no,3
1138,no,1.4,no,12,yes,44,0.2,187,,17,111,1138,3475,19,3,3,yes,no,no,3
560,no,0.5,no,14,no,23,1,146,,15,356,1903,2360,17,16,18,no,yes,yes,1
1117,no,0.5,no,1,no,12,0.6,144,seven,8,798,817,2895,7,6,16,yes,yes,no,2
1712,no,1.4,no,1,no,63,0.5,137,seven,12,747,1126,3652,16,1,19,yes,no,no,3
1836,yes,1.7,yes,3,no,26,0.1,134,six,16,408,1139,3097,5,0,18,no,yes,no,3
1036,yes,2.4,no,0,no,39,0.2,119,seven,3,373,926,2101,10,7,2,no,yes,no,1
1860,yes,2.3,no,15,no,23,0.6,162,four,16,1362,1506,3918,9,2,8,no,yes,no,3
1375,yes,1.1,no,3,yes,9,0.9,145,seven,19,475,726,3869,19,18,10,yes,yes,yes,3
1945,no,1.6,yes,0,yes,57,0.3,195,four,1,743,1753,732,14,1,14,yes,yes,no,1
1896,no,0.5,yes,8,yes,7,0.4,141,two,13,447,794,3684,9,7,18,yes,no,no,3
788,no,2.5,yes,4,yes,57,0.9,91,,12,42,1161,3969,12,8,6,yes,yes,yes,3
880,yes,1.7,yes,0,no,33,0.7,173,two,2,30,1350,1414,12,1,7,yes,yes,no,0
1323,yes,2.5,yes,10,yes,28,0.2,131,four,12,162,619,1892,10,0,15,yes,yes,yes,1
1868,no,2,yes,0,yes,42,0.2,169,one,4,347,660,3131,8,3,7,yes,yes,yes,3
1266,no,1.9,yes,0,yes,7,0.2,184,three,12,346,1468,2532,10,5,4,yes,yes,yes,2
1042,no,2.7,yes,16,yes,50,0.8,93,seven,18,727,1705,3215,18,0,20,yes,yes,yes,3
1479,no,0.5,no,8,no,19,0.6,156,three,10,180,1476,3323,13,12,6,yes,no,yes,3
1476,yes,1.2,yes,0,yes,55,0.1,171,four,5,1641,1666,1529,13,8,3,yes,no,yes,2
1552,yes,2.2,no,6,yes,13,0.2,123,six,9,269,1026,2403,9,2,9,yes,yes,yes,2
1454,yes,0.5,yes,1,no,34,0.7,83,four,3,250,1033,3419,7,5,5,yes,yes,no,3
1007,no,2,no,0,no,45,0.1,95,five,2,1186,1529,3648,9,0,16,no,no,no,3
652,yes,2.4,yes,9,yes,17,0.7,173,five,11,77,559,1974,12,10,12,yes,no,no,0
1504,no,1.5,no,12,yes,34,0.7,142,,15,507,973,2806,7,2,7,yes,no,yes,2
1726,yes,0.9,yes,2,no,51,0.6,193,four,3,379,1223,2239,13,9,13,yes,no,yes,2
1029,yes,1.9,yes,5,yes,5,0.2,171,five,8,264,956,582,15,7,4,yes,yes,yes,0
1582,no,2.8,no,2,yes,44,0.5,112,six,13,1486,1797,3890,17,10,10,yes,yes,yes,3
1478,yes,0.8,yes,12,no,48,0.7,99,five,17,694,882,1141,5,2,6,no,no,yes,1
1178,yes,1.3,no,0,no,49,0.6,101,five,0,579,596,2511,6,3,17,no,no,no,2
707,no,2.1,yes,2,no,25,0.8,131,three,17,495,574,3838,9,2,7,yes,no,yes,3
755,yes,2.8,no,5,yes,51,0.3,186,four,12,315,990,2734,10,1,16,yes,no,yes,2
912,yes,2,no,1,no,54,0.3,161,,5,329,1053,2330,19,5,20,no,yes,no,1
651,yes,0.8,yes,2,yes,63,0.2,176,five,4,548,858,2244,14,9,19,yes,yes,no,1
1483,no,2.1,no,1,yes,54,0.2,176,seven,2,531,758,1851,15,13,2,yes,yes,no,1
914,yes,0.9,no,2,no,4,0.8,100,two,12,191,1495,808,11,7,5,yes,yes,no,0
1456,yes,0.5,yes,7,no,7,0.4,105,five,12,823,1104,1587,6,5,20,yes,no,yes,1
1178,no,2.2,yes,6,no,57,0.3,84,three,17,96,1352,2492,16,14,10,yes,yes,no,2
1503,yes,0.7,no,10,yes,43,0.2,166,four,14,841,1304,2122,15,1,2,yes,no,no,2
1681,yes,2.5,no,2,no,11,0.4,158,two,13,195,1205,1122,12,6,16,no,yes,yes,0
715,no,2.3,yes,4,no,48,0.1,160,four,6,21,562,3709,14,2,10,no,no,no,2
1876,no,2.8,yes,3,yes,56,0.4,182,three,4,235,585,3021,12,2,18,yes,no,no,2
1190,yes,2.2,yes,9,no,47,0.3,186,six,10,1417,1441,624,9,3,19,yes,yes,yes,0
1755,yes,1.3,no,0,yes,24,0.1,134,seven,2,286,1075,3937,8,1,7,yes,no,yes,3
1197,no,1.3,no,3,yes,20,0.5,149,six,7,649,1629,1797,19,5,4,yes,yes,yes,1
1048,yes,0.9,no,10,yes,28,0.8,194,two,19,966,1975,1458,5,1,15,yes,no,yes,1
1887,yes,3,yes,6,yes,17,0.2,126,,7,1172,1798,3348,18,16,16,yes,yes,no,3
1772,yes,0.5,yes,3,no,64,0.7,116,,15,270,545,1834,5,2,20,no,yes,yes,1
1421,no,2.8,no,0,yes,57,0.4,165,one,2,781,1657,2775,13,8,14,yes,no,yes,3
1464,no,0.5,yes,0,yes,17,0.7,153,six,8,418,1341,1277,13,6,19,yes,no,no,1
728,no,2.3,yes,4,no,23,0.8,111,four,5,126,817,457,17,10,16,yes,yes,yes,0
954,yes,0.5,no,0,no,50,0.3,134,two,11,228,1058,438,17,0,2,yes,no,no,0
685,no,0.5,yes,8,yes,13,0.8,82,seven,15,1091,1203,3210,15,7,2,yes,yes,yes,3
1472,no,2.8,yes,1,no,36,0.5,130,six,10,1452,1744,985,12,11,7,yes,yes,no,1
853,yes,2,no,10,yes,3,0.6,200,two,16,674,740,3701,15,8,8,yes,yes,no,3
1469,no,2.1,no,0,no,8,0.7,123,seven,0,398,1133,1052,8,1,3,no,yes,no,0
1310,yes,2.3,yes,6,no,57,0.9,135,,9,449,889,1175,16,0,8,no,no,no,0
1654,no,1.8,no,1,no,11,0.3,146,seven,2,1184,1719,1070,8,1,14,yes,yes,yes,1
902,yes,0.7,no,3,no,3,0.3,134,seven,9,675,1285,3411,12,11,15,no,no,yes,3
1448,no,1.4,yes,13,no,26,1,156,three,16,1792,1850,1175,12,9,6,no,yes,no,1
1631,no,0.9,yes,2,yes,3,0.1,198,seven,12,177,1905,301,13,5,13,yes,no,no,0
1608,no,1.8,yes,7,no,28,0.4,183,two,13,1013,1158,489,15,11,8,no,no,yes,0
1991,yes,2.7,no,5,yes,64,0.9,145,two,13,1058,1325,1733,5,3,8,yes,yes,no,2
1349,no,2,yes,15,no,62,0.3,114,five,16,592,772,2756,11,3,4,yes,no,no,2
1589,no,2.5,no,5,yes,51,0.8,195,one,18,810,1743,2612,8,2,16,yes,no,no,2
1844,yes,2.3,yes,1,no,51,0.7,158,,3,533,882,1724,5,1,14,no,yes,yes,1
712,yes,0.5,yes,3,yes,35,0.2,84,two,10,558,1208,2190,16,12,4,yes,yes,yes,1
972,yes,1.7,no,0,yes,54,0.7,107,three,4,681,1050,1900,16,8,19,yes,no,yes,1
1406,no,0.5,yes,2,yes,34,0.8,98,three,5,1017,1366,3915,9,8,2,yes,no,yes,3
1289,no,0.9,no,10,yes,25,1,178,six,12,765,899,1043,6,2,11,yes,yes,no,0
932,no,1.3,no,1,no,64,0.7,154,seven,2,1176,1224,3817,8,7,9,yes,yes,yes,3
1747,yes,0.9,no,6,yes,48,0.7,94,three,19,947,1131,2362,17,2,19,yes,yes,no,2
1172,yes,2.1,yes,4,no,41,0.1,95,three,7,1314,1884,1107,7,3,5,no,no,no,1
1128,yes,1.4,no,12,no,53,0.4,84,five,14,609,1370,2982,14,9,12,yes,yes,no,3
664,no,1.2,yes,0,no,28,0.9,106,five,5,754,1497,2042,17,15,19,yes,yes,no,1
513,yes,0.5,no,6,yes,44,0.1,186,four,12,619,867,1343,5,1,9,yes,yes,no,0
1742,no,2.3,yes,9,yes,43,0.4,170,seven,12,453,681,2610,12,3,10,yes,no,yes,2
1512,yes,1.7,no,12,no,6,0.7,162,seven,17,205,884,2335,15,7,7,yes,yes,yes,2
1986,no,0.5,yes,3,yes,51,0.1,165,,20,282,1358,1614,17,12,3,yes,yes,yes,1
965,yes,1.5,yes,5,no,13,1,109,two,14,130,998,1138,9,8,10,no,yes,no,0
1067,yes,2.4,yes,3,yes,40,0.6,122,,15,494,1989,604,16,14,11,yes,no,no,0
1583,yes,1.6,no,5,yes,42,0.8,118,three,10,275,862,3652,14,10,9,yes,no,no,3
1653,no,0.5,yes,2,yes,37,0.9,176,four,6,447,1785,3955,19,4,18,yes,yes,yes,3
1433,no,1.6,no,7,no,4,0.7,133,,11,281,799,258,11,9,4,yes,yes,yes,0
765,no,2.9,no,0,yes,18,0.1,153,seven,0,6,793,1066,11,1,16,yes,yes,no,0
1845,yes,0.5,yes,10,no,61,0.3,96,one,12,292,695,1731,9,5,6,no,no,no,1
752,no,0.5,yes,1,no,48,0.7,87,seven,13,164,728,3860,7,5,16,no,no,no,3
1948,no,2.8,yes,8,no,16,0.1,100,five,10,631,1940,3630,9,7,17,no,yes,no,3
1077,no,2.5,yes,0,yes,45,1,174,three,4,897,1304,1965,6,2,6,yes,yes,no,1
932,yes,0.5,no,1,yes,60,0.7,104,four,2,268,1078,1459,6,1,19,yes,yes,no,0
1968,no,0.9,no,0,no,22,0.8,115,three,7,861,1259,2323,9,8,7,no,no,yes,2
1122,no,1.2,no,9,no,2,0.6,120,four,14,331,790,3291,11,2,13,yes,yes,yes,2
1588,no,0.5,no,0,yes,61,0.8,159,one,13,1064,1594,3272,18,0,17,yes,yes,no,3
601,no,2.1,no,4,no,26,0.3,101,four,18,509,548,918,9,1,12,no,no,no,0
1615,no,0.5,no,14,no,15,0.1,132,four,16,622,1256,3488,16,2,3,no,no,yes,3
1589,yes,2.2,yes,2,no,58,0.1,128,four,4,957,1911,3961,16,14,14,yes,no,yes,3
1417,yes,2.7,no,2,yes,56,0.9,114,six,4,494,1649,590,11,3,6,yes,no,yes,0
1697,yes,0.7,no,1,yes,34,0.1,95,one,3,236,1264,3701,15,9,8,yes,yes,no,3
1330,yes,1.3,yes,14,no,3,0.3,83,five,17,980,1262,463,14,6,11,no,no,yes,0
1476,no,0.5,no,0,yes,43,0.7,148,two,2,1789,1972,3644,15,10,6,yes,no,yes,3
1579,yes,1.5,no,0,no,27,0.2,142,six,18,831,1484,1713,16,4,10,yes,yes,yes,1
1277,no,3,no,0,yes,41,0.3,200,four,3,902,1090,429,9,4,14,yes,yes,yes,0
1089,yes,0.9,yes,12,yes,2,0.7,145,five,15,636,1259,2765,13,12,10,yes,no,yes,2
1663,yes,2.5,yes,13,yes,27,0.3,169,four,14,831,1439,2084,7,1,18,yes,no,no,2
1949,no,1.8,no,0,no,20,0.8,186,five,4,518,592,1125,17,10,9,no,no,no,1
1138,no,1.1,no,5,yes,48,0.6,109,three,14,233,1777,2048,6,0,18,yes,yes,yes,2
685,no,2.7,no,7,no,17,0.3,174,six,20,725,870,1223,8,0,18,yes,no,yes,0
1889,no,2.8,no,5,yes,31,1,132,one,10,170,1106,3672,5,1,3,yes,yes,yes,3
857,yes,2,yes,3,no,17,0.2,195,seven,9,157,948,3100,17,5,13,yes,yes,no,2
1902,no,2.8,yes,6,no,50,0.8,124,,9,1142,1393,343,11,8,18,no,yes,no,0
1225,yes,2.4,no,0,no,15,0.1,155,five,0,840,982,1970,16,8,15,yes,yes,no,1
1066,no,1.6,no,5,no,39,0.6,131,five,17,401,1586,2728,6,0,17,yes,yes,yes,2
1554,yes,0.5,yes,11,no,5,1,124,three,12,395,1579,3635,7,4,18,no,no,no,3
1337,no,0.5,no,13,no,31,0.8,186,two,20,48,644,2180,7,4,16,yes,no,yes,1
1926,yes,1.7,yes,1,yes,33,0.4,172,three,2,982,1157,2488,6,1,14,yes,no,no,2
869,no,1.3,yes,3,no,34,0.1,104,two,4,478,539,3864,13,3,11,yes,no,no,3
1278,yes,0.5,yes,1,no,54,0.1,104,,16,581,750,1155,7,1,20,no,no,yes,0
1773,yes,2.5,no,16,yes,32,0.6,170,six,18,1215,1472,3566,17,6,13,yes,no,yes,3
1661,yes,0.8,yes,1,yes,6,1,109,seven,2,594,1337,864,9,8,2,yes,no,yes,1
1438,no,2.2,no,0,yes,32,0.6,176,seven,6,683,1663,869,19,13,9,yes,yes,yes,0
1661,yes,1.4,no,0,no,29,0.3,119,two,0,536,861,591,9,2,9,yes,yes,yes,0
1846,yes,0.6,no,1,no,19,0.7,159,one,2,83,773,1333,15,6,11,no,yes,yes,1
1260,yes,2,yes,2,yes,23,0.2,123,seven,10,905,1313,2208,12,11,10,yes,no,yes,2
512,yes,0.5,yes,7,no,15,0.9,83,three,15,249,1849,2610,18,14,15,no,yes,yes,2
581,no,2.2,no,0,no,59,0.7,185,five,6,803,1613,2819,19,17,9,no,no,yes,2
1872,yes,2.3,no,6,no,44,0.7,134,three,15,459,1259,1955,9,4,15,yes,no,yes,2
687,yes,1.3,no,9,yes,50,0.6,151,four,20,584,1151,3416,14,6,8,yes,yes,no,3
1062,yes,2.5,yes,6,no,10,0.9,160,one,13,1596,1807,3803,7,3,16,no,no,yes,3
1678,yes,2.3,yes,11,no,7,0.5,192,one,14,418,1763,574,5,3,19,yes,no,no,0
1417,yes,0.5,no,10,yes,45,0.9,166,four,19,364,1029,2129,13,9,12,yes,no,yes,1
1074,no,2.4,yes,2,yes,9,0.9,103,six,14,946,952,1948,13,1,18,yes,yes,yes,1
1832,no,0.7,no,2,no,2,0.6,90,seven,6,186,654,2978,18,7,18,no,no,no,2
1039,no,1.3,no,0,yes,12,0.8,200,,0,1428,1827,1619,7,1,10,yes,yes,yes,1
1059,no,2.4,no,8,no,61,0.1,134,three,18,1613,1916,3716,15,13,11,yes,yes,no,3
1606,no,1.4,no,3,no,57,0.1,154,four,4,1127,1924,3454,13,8,20,no,no,yes,3
1928,yes,1.8,no,9,yes,19,1,187,three,20,691,1580,3777,7,2,13,yes,yes,yes,3
1875,yes,0.5,yes,11,yes,55,0.7,91,one,17,1802,1942,2712,7,2,6,yes,no,yes,3
1128,yes,1.1,no,9,yes,46,0.9,135,,10,751,1582,1434,5,0,11,yes,no,no,1
1748,no,1.7,yes,6,yes,14,0.5,146,three,7,859,1234,3968,16,12,3,yes,no,yes,3
1413,no,0.5,yes,5,no,51,0.3,117,five,11,187,517,3383,16,5,2,no,no,no,3
825,no,0.5,yes,0,yes,23,0.1,86,two,0,206,1917,3278,8,6,2,yes,no,yes,3
1589,yes,1.4,no,3,yes,26,0.1,100,,16,1673,1759,3970,16,8,18,yes,no,yes,3
535,yes,0.5,yes,8,yes,54,0.5,145,,15,710,939,2674,14,8,10,yes,no,no,2
1780,yes,0.5,no,6,no,27,0.1,190,four,11,1331,1463,2776,19,17,14,yes,yes,yes,3
1671,no,0.6,yes,7,yes,61,0.1,129,two,11,263,848,2336,10,4,7,yes,no,no,2
1821,no,0.9,no,9,yes,12,0.3,114,one,18,97,1803,2430,7,4,6,yes,yes,yes,2
1076,yes,2.6,no,3,yes,38,0.7,119,six,8,129,915,891,18,3,9,yes,yes,no,0
532,yes,0.8,yes,3,no,8,0.1,193,five,10,1213,1354,728,13,5,8,yes,yes,no,0
777,yes,2.6,no,3,no,30,0.9,148,five,17,189,1143,3886,14,10,7,yes,no,no,3
1217,yes,0.5,no,3,no,17,0.5,182,four,13,628,632,1711,7,3,9,yes,no,yes,1
1656,yes,1.6,yes,0,no,16,1,117,seven,2,320,899,2856,14,3,20,yes,yes,yes,2
1185,no,1.9,no,0,no,31,0.4,152,,7,837,1642,2447,16,2,3,yes,yes,yes,2
577,no,2.4,no,8,yes,37,0.9,161,six,20,1087,1450,814,11,7,19,yes,yes,yes,0
737,yes,2.4,yes,7,no,49,0.6,193,four,16,781,1463,2951,7,0,10,no,yes,no,2
